super_id,PolII,lib,rep,final,Tseq-ttlBth,Tseq-fastq_B1,Tseq-fastq_B2,Notes
1,,AYR,Ec,no,,,,
2,,BYR,Ec,no,,,,
3,,ARY,Ec,no,,,,
4,WT,AYR,rep1,yes,1,VV1399_S3_R1_001.fastq,,
5,WT,AYR,rep2,yes,1,VV1400_S4_R1_001.fastq,,
6,WT,AYR,rep3,yes,1,VV1401_S5_R1_001.fastq,,
7,WT,BYR,rep1,yes,2,VV1402_S6_R1_001.fastq,Vv1612_KAP1053A1_S1_R1_001.fastq,
8,WT,BYR,rep2,yes,2,VV1403_S7_R1_001.fastq,Vv1613_KAP1053A2_S5_R1_001.fastq,
9,WT,BYR,rep3,yes,2,VV1404_S8_R1_001.fastq,Vv1614_KAP1053A3_S9_R1_001.fastq,
10,WT,ARY,rep1,yes,1,VV1405_S9_R1_001.fastq,,
11,WT,ARY,rep2,yes,1,VV1406_S10_R1_001.fastq,,
12,WT,ARY,rep3,yes,1,VV1407_S11_R1_001.fastq,,
13,E1103G,AYR,rep1,yes,2,VV1477_S4_R1_001.fastq,Vv1615_KAP1053A4_S13_R1_001.fastq,
14,E1103G,AYR,rep2,yes,2,VV1478_S5_R1_001.fastq,Vv1616_KAP1053A5_S16_R1_001.fastq,
15,E1103G,AYR,rep3,yes,2,VV1479_S6_R1_001.fastq,Vv1617_KAP1053A6_S19_R1_001.fastq,
16,E1103G,BYR,rep1,yes,2,VV1480_S7_R1_001.fastq,Vv1618_KAP1053A7_S22_R1_001.fastq,
17,E1103G,BYR,rep2,yes,2,VV1481_S8_R1_001.fastq,Vv1619_KAP1053A8_S25_R1_001.fastq,
18,E1103G,BYR,rep3,yes,2,VV1482_S9_R1_001.fastq,Vv1620_KAP1053A9_S2_R1_001.fastq,
19,E1103G,ARY,rep1,yes,2,VV1483_S10_R1_001.fastq,Vv1621_KAP1053A10_S6_R1_001.fastq,
20,E1103G,ARY,rep2,yes,2,VV1484_S11_R1_001.fastq,Vv1622_KAP1053A11_S10_R1_001.fastq,
21,E1103G,ARY,rep3,yes,2,VV1485_S12_R1_001.fastq,Vv1623_KAP1053A12_S14_R1_001.fastq,
22,F1086S,AYR,rep1,yes,1,VV1486_S4_R1_001.fastq,,
23,F1086S,AYR,rep2,yes,1,VV1487_S5_R1_001.fastq,,
24,F1086S,AYR,rep3,yes,1,VV1488_S6_R1_001.fastq,,
25,F1086S,BYR,rep1,yes,2,VV1489_S7_R1_001.fastq,Vv1624_KAP1053A13_S17_R1_001.fastq,
